"Severity","RuleName","ScriptName","Line","Message"
"Information","PSAvoidTrailingWhitespace","Create-SelfSignedCert.ps1","59","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Create-SelfSignedCert.ps1","65","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Create-SelfSignedCert.ps1","94","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Create-SelfSignedCert.ps1","102","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Create-SelfSignedCert.ps1","128","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Create-SelfSignedCert.ps1","161","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Create-SelfSignedCert.ps1","169","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Create-SelfSignedCert.ps1","204","Line has trailing whitespace"
"Warning","PSUseBOMForUnicodeEncodedFile","Create-SelfSignedCert.ps1",,"Missing BOM encoding for non-ASCII encoded file 'Create-SelfSignedCert.ps1'"
"Warning","PSUseDeclaredVarsMoreThanAssignments","Create-SelfSignedCert.ps1","159","The variable 'scriptName' is assigned but never used."
"Warning","PSAvoidOverwritingBuiltInCmdlets","Create-SelfSignedCert.ps1","34","'Write-Warning' is a cmdlet that is included with PowerShell (version core-6.1.0-windows) whose definition should not be overridden"
"Warning","PSAvoidOverwritingBuiltInCmdlets","Create-SelfSignedCert.ps1","39","'Write-Error' is a cmdlet that is included with PowerShell (version core-6.1.0-windows) whose definition should not be overridden"
"ParseError","InvalidVariableReferenceWithDrive","Generate-CSR.ps1","109","Variable reference is not valid. ':' was not followed by a valid variable name character. Consider using ${} to delimit the name."
"Information","PSAvoidTrailingWhitespace","Generate-CSR.ps1","116","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Generate-CSR.ps1","119","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Generate-CSR.ps1","136","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Generate-CSR.ps1","139","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Generate-CSR.ps1","147","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Generate-CSR.ps1","195","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Generate-CSR.ps1","199","Line has trailing whitespace"
"Warning","PSUseBOMForUnicodeEncodedFile","Generate-CSR.ps1",,"Missing BOM encoding for non-ASCII encoded file 'Generate-CSR.ps1'"
"Warning","PSAvoidAssignmentToAutomaticVariable","Generate-CSR.ps1","197","The Variable 'args' is an automatic variable that is built into PowerShell, assigning to it might have undesired side effects. If assignment is not by design, please use a different name."
"ParseError","InvalidVariableReferenceWithDrive","Install-Prerequisites.ps1","139","Variable reference is not valid. ':' was not followed by a valid variable name character. Consider using ${} to delimit the name."
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","20","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","24","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","34","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","37","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","40","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","59","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","110","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","112","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","118","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","120","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","126","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","131","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","134","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","147","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","149","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","156","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","159","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","165","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","168","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","184","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","190","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","192","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","200","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","204","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","209","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","212","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","215","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","219","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","230","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","236","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","238","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","246","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","250","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","256","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","259","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","261","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","286","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","290","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","295","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","311","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","314","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","318","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","323","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","326","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","330","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","333","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","337","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","341","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","344","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","348","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","358","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-Prerequisites.ps1","364","Line has trailing whitespace"
"Warning","PSUseBOMForUnicodeEncodedFile","Install-Prerequisites.ps1",,"Missing BOM encoding for non-ASCII encoded file 'Install-Prerequisites.ps1'"
"Warning","PSPossibleIncorrectComparisonWithNull","Install-Prerequisites.ps1","101","$null should be on the left side of equality comparisons."
"Warning","PSUseDeclaredVarsMoreThanAssignments","Install-Prerequisites.ps1","95","The variable 'color' is assigned but never used."
"Warning","PSUseDeclaredVarsMoreThanAssignments","Install-Prerequisites.ps1","269","The variable 'process' is assigned but never used."
"Warning","PSReviewUnusedParameter","Install-Prerequisites.ps1","33","The parameter 'ModulesOnly' has been declared but not used."
"Warning","PSReviewUnusedParameter","Install-Prerequisites.ps1","36","The parameter 'CliOnly' has been declared but not used."
"Warning","PSReviewUnusedParameter","Install-Prerequisites.ps1","39","The parameter 'Force' has been declared but not used."
"ParseError","TerminatorExpectedAtEndOfString","Install-QuickChecks.ps1","189","The string is missing the terminator: ""@."
"Information","PSAvoidTrailingWhitespace","Install-QuickChecks.ps1","15","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-QuickChecks.ps1","19","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-QuickChecks.ps1","22","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-QuickChecks.ps1","31","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-QuickChecks.ps1","34","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-QuickChecks.ps1","37","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-QuickChecks.ps1","109","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-QuickChecks.ps1","111","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-QuickChecks.ps1","120","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-QuickChecks.ps1","144","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Install-QuickChecks.ps1","164","Line has trailing whitespace"
"Warning","PSUseBOMForUnicodeEncodedFile","Install-QuickChecks.ps1",,"Missing BOM encoding for non-ASCII encoded file 'Install-QuickChecks.ps1'"
"Warning","PSAvoidDefaultValueSwitchParameter","Package-QuickChecks.ps1","47","File 'Package-QuickChecks.ps1' has a switch parameter default to true."
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","15","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","19","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","22","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","25","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","28","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","37","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","40","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","43","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","46","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","49","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","52","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","57","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","78","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","161","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","167","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","172","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","176","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","186","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","190","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","196","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","217","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","226","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","229","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","235","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","238","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","242","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","246","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","255","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","261","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","265","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Package-QuickChecks.ps1","276","Line has trailing whitespace"
"Warning","PSAvoidUsingEmptyCatchBlock","QuickChecks-Console.ps1","98","Empty catch block is used. Please use Write-Error or throw statements in catch blocks."
"Warning","PSAvoidUsingEmptyCatchBlock","QuickChecks-Console.ps1","99","Empty catch block is used. Please use Write-Error or throw statements in catch blocks."
"Warning","PSAvoidUsingEmptyCatchBlock","QuickChecks-Console.ps1","101","Empty catch block is used. Please use Write-Error or throw statements in catch blocks."
"Warning","PSAvoidUsingEmptyCatchBlock","QuickChecks-Console.ps1","196","Empty catch block is used. Please use Write-Error or throw statements in catch blocks."
"Warning","PSAvoidUsingEmptyCatchBlock","QuickChecks-Console.ps1","356","Empty catch block is used. Please use Write-Error or throw statements in catch blocks."
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","22","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","155","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","192","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","197","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","214","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","216","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","226","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","232","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","237","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","242","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","247","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","252","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","257","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","262","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","268","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","278","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","288","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","300","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","312","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","317","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","318","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","321","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","322","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","330","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","342","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","354","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","357","Line has trailing whitespace"
